gap_id,filled,east,tier,gbm_prob,area_m2,height_m,imperv_frac,dist_road,neigh_completeness,fill_ratio
75,True,False,2,0.9897,139.2,3.0,0.8312,11.5961,0.0,0.5079
76,True,False,2,0.9953,110.2,3.1,0.8537,21.3745,0.1,0.5454
77,True,True,2,0.9935,120.5,2.7,0.9459,17.1751,0.0,0.6285
78,True,False,2,0.994,138.8,2.8,0.992,20.1993,0.0,0.575
79,False,False,2,0.0598,45.2,6.5,0.952,6.0624,0.1429,0.5845
80,True,False,2,0.9932,110.8,3.4,0.9744,17.3791,0.0,0.8602
81,True,False,3,0.9069,395.2,5.5,0.9608,23.1699,0.1538,0.8337
82,True,False,2,0.9934,155.0,3.1,0.9497,18.378,0.0,0.7106
83,True,False,2,0.9938,151.0,3.4,0.9903,17.2246,0.0526,0.7346
84,False,False,1,0.2263,37.2,2.8,0.9903,13.4815,0.1053,0.3828
85,True,False,2,0.9935,115.8,3.5,0.9175,17.3093,0.0,0.7692
86,False,False,1,0.2877,30.5,2.5,1.0,19.1218,0.0455,0.6996
87,True,False,2,0.9951,94.5,3.3,0.6192,21.4444,0.0968,0.5933
88,False,False,2,0.0337,58.2,6.2,0.758,3.3383,0.0909,0.6155
89,True,False,3,0.9937,193.0,4.2,0.9868,16.8919,0.0,0.7139
90,True,False,2,0.9935,128.5,2.8,0.9663,16.3318,0.1176,0.7148
91,True,False,2,0.9914,110.5,3.2,0.9968,19.5894,0.0,0.8198
92,True,True,2,0.9934,155.5,3.0,0.9745,18.2179,0.0,0.6556
93,True,False,2,0.9936,129.2,2.8,0.9106,17.4614,0.0,0.5505
94,False,True,1,0.2989,40.8,3.1,1.0,15.0696,0.125,0.6602
95,False,False,1,0.0191,22.2,9.4,0.0,10.0312,0.0909,0.4103
96,True,False,2,0.9924,111.8,3.2,0.9967,18.6982,0.0,0.85
97,True,False,2,0.9935,149.5,3.4,0.9544,19.5273,0.05,0.7844
98,True,False,2,0.8719,340.0,3.0,0.9078,11.0753,0.0,0.3919
99,True,False,2,0.9935,142.0,3.5,0.9695,18.0271,0.0,0.7761
100,True,False,1,0.9751,78.0,3.8,0.8505,15.503,0.125,0.5207
101,True,False,2,0.9935,183.0,3.5,0.9765,16.9285,0.0,0.7309
102,True,False,2,0.9939,164.5,2.8,0.9847,16.8772,0.0,0.6701
103,True,False,2,0.9887,82.5,3.3,0.933,21.9801,0.0625,0.5341
104,True,True,2,0.9863,173.5,2.5,0.9734,14.5679,0.1786,0.7491
105,True,False,2,0.9937,127.5,3.2,0.985,16.0191,0.0,0.6548
106,False,True,1,0.9358,75.2,3.1,0.7356,17.8398,0.1,0.4483
